,번호,명칭,요약,출원일,출원인,독립 청구항수,전체 청구항수,국제특허분류,자국인용특허,외국인용특허,자국피인용특허,자국인용횟수,자국피인용횟수,특허평가등급,발명자수,발명자국가,출원인대표명,국가,연도,외국인용횟수
0,KR20170166288A,가상 화폐 담보 대출 금융 기술 서비스 방법 및 그 장치{METHOD FOR VERTUAL CURRENCY SECURED LOAN FINANCIAL TECHNOLOGY SERVICE AND APPARATUS THEREOF},"가상 화폐 담보 대출 금융 기술 서비스 방법에서는 금융 기술 서비스 장치가 각 거래소별로 각 가상 화폐의 거래 가격 정보와, 해당 가상 화폐의 거래량 정보를 획득할 수 있다. 그 다음, 금융 기술 서비스 장치는 거래량 정보에 기반하여 각 거래소별로 해당 거래소가 전체 거래 시장에서 차지하는 각 가상 화폐의 거래 점유율을 산출할 수 있다. 금융 기술 서비스 장치는 거래 점유율에 상응하여 각 거래소별로 각 가상 화폐에 대하여 담보 대출시 해당 가상 화폐의 거래 가격 정보에 적용할 담보율을 차등적으로 결정할 수 있다.",2017.12.05,김해동,8,8,"['G06Q40', 'G06Q20']","KR20110010207A,KR20170040727A,KR20170130049A","크립토코인 게시물,크립토코인 관련 20171112","KR20210083554A,KR20220049753A",3,2,A0,1,['KR'],김해동,KR,2017,2
1,KR20160031767A,공모주 청약 대금 대출을 위한 금융 기술 서비스 방법 및 그 장치{METHOD FOR FINANCE TECHNOLOGY SERVICE FOR SUBSCRIPTION MONEY LOAN FOR BUYING STOCKS IN PUBLIC OFFERING AND APPARATUS THEREOF},"본 발명의 공모주 청약 대금 대출을 위한 금융 기술 서비스 방법에서는 금융 기술 서비스 장치가 제1 정보 단말로부터 공모주 청약 대금 대출을 신청하기 위한 공모주 정보 및 대출 조건 정보를 포함하는 대출 신청 정보를 수신할 수 있다. 금융 기술 서비스 장치는 대출 신청 정보에 기반하여 투자 상품을 개설하고, 하나 이상의 제2 정보 단말로부터 개설된 투자 상품에 대한 투자 신청 정보를 수신하고 투자금의 입금이 가능하도록 투자금 유치 프로세스를 수행할 수 있다. 금융 기술 서비스 장치는 입금된 투자금을 이용하여 공모주 청약 대금 대출을 실행하여 대출 신청 정보에 지정된 계좌로 대출금을 송금하기 위한 데이터 및 전자 신호의 처리를 수행할 수 있다. 금융 기술 서비스 장치는 공모주 배정에 따른 납입기일에 공모주 청약 대금 대출에 따른 이자 결산 및 투자금 반환 프로세스를 수행할 수 있다.",2016.03.17,김해동,4,4,"['G06Q40', 'G06Q30']","KR20030006320A,KR20040052786A,KR20090076673A,KR20100089499A,KR20150118343A",,"KR20190061265A,KR20210011489A,KR2097907B1",5,3,A0,1,['KR'],김해동,KR,2016,0
2,KR20160005969A,P2P 담보 대출 금융 기술 서비스 방법 및 그 시스템{METHOD FOR PEER TO PEER SECURED LOAN FINALCIAL TECHNOLOGY SERVICE AND SYSTEM THEREOF},"P2P 담보 대출 금융 기술 서비스 방법에서는 금융 기술 서비스 장치가 제1 정보 단말로부터 수신된 담보 대출 신청 정보에 기반하여 제2 정보 단말과의 통신을 통해 담보물로 제공된 현금외 자산에 대한 수요 예측 조사를 진행하고, 담보 대출 신청 정보 및 수요 예측 조사 결과를 이용하여 대출 심사를 수행하는 단계가 실행된다. 다음, 금융 기술 서비스 장치에 의해, 금융 지원 서버와의 통신을 통해, 제2 정보 단말로부터 수신된 투자 신청 정보에 기반하여 투자금을 입금받고, 현금외 자산을 담보물로 하여 담보 대출을 실행하기 위한 데이터 및 전자 신호의 처리를 수행하는 단계가 실행된다. 그리고, 담보 대출이 실행된 담보물의 현금화를 실행하는 경우에 금융 기술 서비스 장치에 의해, 수요 예측 조사를 통해 확보된 우선 투자자 정보에 상응하는 제2 정보 단말에 담보물의 현금화에 참여할 수 있는 정보를 전송하여 담보물의 현금화를 실행하기 위한 데이터 및 전자 신호의 처리를 수행하는 단계가 실행된다. 이에 따라 P2P 담보 대출 과정에서 비상장 주식 등과 같이 공식적인 가격이 책정되어 있지 않은 현금외 자산을 담보로 하는 경우, 이에 대한 합리적인 가치를 산정하고, 담보물의 현금화가 필요할 경우에 담보물의 현금화를 신속하게 진행할 수 있다.",2016.01.18,김해동,2,7,['G06Q40'],"KR20040052786A,KR20090122799A,KR20100080962A,KR20130103294A,KR20140112767A","JP2002183444 A,JP2002183444 A,JP2004151900 A,일본 공개특허공보 특개2002183444호20020628 1부","KR1898283B1,KR20210001673A,KR20210125897A,KR20220004554A,KR20220018326A,KR20220034422A,KR2120591B1,KR2129694B1,KR2171480B1",5,9,A0,1,['KR'],김해동,KR,2016,4
3,KR20080120308A,가맹점 단말을 통한 대출 서비스 제공 방법{Method for Providing Loan Service by Affiliated Store's Terminal},"본 발명의 가맹점 단말을 통한 대출 서비스 제공 방법에 따르면, 카드 결제 가맹점의 자금 흐름을 관리하는 서버를 통해 실행되는 방법에 있어서, 지정된 은행에 개설된 가맹점의 실계좌와 연계하여 가맹점의 자금 흐름을 관리하기 위해 카테고리 별 각종 내역을 선별하여 선택적으로 기록하는 정보 저장 구조를 포함하며 실제 자금이 예치되지 않는 기록형 계좌를 생성하고, 상기 기록형 계좌에 상기 자금 흐름을 관리받는 가맹점을 식별하는 가맹점 정보를 기록하고, 상기 가맹점의 결제용 단말 중 상기 가맹점의 대출 신청에 이용될 가맹점 내 단말을 인증하기 위한 단말 정보를 확인하여 기록하고, 상기 실계좌의 거래내역 중 상기 가맹점의 자금 흐름에 대응하는 입금 내역과 출금 내역을 선별하여 상기 기록형 계좌에 기록하거나 상기 가맹점에 대한 입금예정 내역을 확인하여 상기 기록형 계좌에 기록하고, 가맹점 내 단말로부터 가맹점 정보와 단말 정보를 포함하는 대출요청 전문을 수신하고, 상기 기록형 계좌의 가맹점 정보를 통해 상기 대출요청 전문의 가맹점 정보를 판독하여 대출을 신청한 가맹점이 상기 기록형 계좌를 통해 자금 흐름을 관리받는 가맹점인지 인증하고, 상기 기록형 계좌의 단말 정보를 통해 상기 대출요청 전문의 단말 정보를 판독하여 상기 대출요청 전문을 전송한 단말이 가맹점의 대출 신청을 위해 등록된 가맹점 내 단말인지 인증하며, 상기 가맹점 정보에 대응하는 가맹점이 자금 흐름을 관리받는 가맹점으로 인증되고 상기 대출요청 전문을 전송한 단말이 상기 등록된 가맹점 측 단말로 인증되면, 상기 기록형 계좌에 기록된 내역을 근거로 상기 대출요청 전문에 대응하는 대출을 처리하는 절차를 수행한다.",2008.12.01,주식회사 비즈모델라인,1,3,['G06Q40'],"KR20010088970A,KR20030069489A,KR20080070784A",,"KR1497627B1,KR20150062520A,KR20150134544A,KR20160013532A",3,4,A0,4,['KR'],주식회사 비즈모델라인,KR,2008,0
4,KR20180030330A,가상화폐를 이용한 온라인 대출 시스템{Online loan system using virtual currency},"본 발명은 피투피(P2P: peer To Peer) 투자 중개 매칭 플랫폼에 관한 것으로, 하나 이상의 투자자(10) 들이 각각 사용하는 투자자 단말기(120)와, 하나 이상의 채무자(20) 들이 각각 사용하는 채무자 단말기(130)와 각각 통신망을 통하여 연결되는 피투피(P2P: peer To Peer) 투자 중개 매칭 플랫폼 서버(110); 를 포함하여 구성되되, 상기 피투피(P2P: peer To Peer) 투자 중개 매칭 플랫폼 서버(110)는, 상기 투자자 단말기(120)를 통하여 투자 금액, 투자 수익률 및 투자 기간 중 어느 하나 이상을 포함하는 투자 조건이 부가된 투자금 투자를 전달(S1)받고 이에 대하여 상기 투자자 단말기(120)에 대하여 상기 투자금 투자에 대한 전자 화폐를 발행(S2)하고, 상기 채무자 단말기(130)를 통하여 대출 금액, 이자율 및 대출 기간 중 어느 하나 이상을 포함하는 대출 조건이 부가된 대출 신청을 전달(S3)받은 후, 상기 투자 조건 및 상기 대출 조건을 서로 매칭(matching)하여 선별한 후, 선별된 투자 조건 및 대출 조건에 따라 상기 채무자(20)에게 상기 채무자 단말기(130)를 통하여 대출금을 지급(S4)하는 것을 특징으로 하는 피투피(P2P: peer To Peer) 투자 중개 매칭 플랫폼(100)에 관한 것이다.",2018.03.15,김시내|김건호,1,1,"['G06Q40', 'G06Q30', 'G06Q20']","KR20010095986A,KR20030026693A,KR20030068326A,KR20070039015A,KR20090087715A",,"KR1933658B1,KR20190124384A",5,2,A-,2,['KR'],김시내|김건호,KR,2018,0
5,KR20180030311A,대출 및 투자 조건 매칭 기술을 이용하여 개인 이용자 간의 중개 기능을 제공하는 투자 중개 시스템{Investment mediation system for providing mediation function between individual users using loan and investment condition matching technology},"본 발명은 피투피(P2P: peer To Peer) 투자 중개 매칭 플랫폼에 관한 것으로, 하나 이상의 투자자(10) 들이 각각 사용하는 투자자 단말기(120)와, 하나 이상의 채무자(20) 들이 각각 사용하는 채무자 단말기(130)와 각각 통신망을 통하여 연결되는 피투피(P2P: peer To Peer) 투자 중개 매칭 플랫폼 서버(110); 를 포함하여 구성되되, 상기 피투피(P2P: peer To Peer) 투자 중개 매칭 플랫폼 서버(110)는, 상기 투자자 단말기(120)를 통하여 투자 금액, 투자 수익률 및 투자 기간 중 어느 하나 이상을 포함하는 투자 조건이 부가된 투자금 투자를 전달(S1)받고 이에 대하여 상기 투자자 단말기(120)에 대하여 상기 투자금 투자에 대한 전자 화폐를 발행(S2)하고, 상기 채무자 단말기(130)를 통하여 대출 금액, 이자율 및 대출 기간 중 어느 하나 이상을 포함하는 대출 조건이 부가된 대출 신청을 전달(S3)받은 후, 상기 투자 조건 및 상기 대출 조건을 서로 매칭(matching)하여 선별한 후, 선별된 투자 조건 및 대출 조건에 따라 상기 채무자(20)에게 상기 채무자 단말기(130)를 통하여 대출금을 지급(S4)하는 것을 특징으로 하는 피투피(P2P: peer To Peer) 투자 중개 매칭 플랫폼(100)에 관한 것이다.",2018.03.15,김시내|김건호,1,1,"['G06Q40', 'G06Q30', 'G06Q20']","KR20010095986A,KR20030026693A,KR20030068326A,KR20070039015A,KR20090087715A",,KR2068250B1,5,1,A-,2,['KR'],김시내|김건호,KR,2018,0
6,KR20160060570A,P2P 대출 금융 기술을 이용한 예산 사업의 자금 운영 방법 및 그 장치{METHOD FOR FUND MANAGEMENT OF BUDGET PROJECT USING PEER TO PEER LOAN FINANCE TECHNOLOGY AND APPARATUS THEREOF},"P2P 대출 금융 기술을 이용한 예산 사업의 자금 운영 방법에서는 금융 기술 서비스 장치가 금융 지원 서버와의 통신을 통해, 제1 정보 단말로부터 수신된 대출 신청 정보에 기반하여 예산 사업 홍보 및 투자금 유치를 위한 투자 참고 정보를 포함하는 투자 상품 정보를 개설하고, 투자 유치를 진행할 수 있다. 금융 기술 서비스 장치는 금융 지원 서버와의 통신을 통해, 제2 정보 단말로부터 수신된 투자 신청 정보에 기반하여 투자금을 입금받고, 예산 사업을 위해 책정된 예산 계획을 근거로 하는 지급 보증을 담보로 하여 P2P 대출을 실행하여 대출 신청 정보에 지정된 계좌로 대출금을 송금하기 위한 데이터 및 전자 신호의 처리를 수행할 수 있다. 금융 기술 서비스 장치는 금융 지원 서버와 통신을 통해 P2P 대출에 기반한 이자 납입 및 투자 수익금 지불 프로세스를 수행할 수 있다.",2016.05.18,김해동,2,13,"['G06Q40', 'G06Q10', 'G06Q20']",KR20020045458A,,"KR20190066514A,KR20190115500A,KR20190122555A,KR20200032979A",1,4,A-,1,['KR'],김해동,KR,2016,0
7,KR20180030315A,투자 및 대출조건이 일치하는 이용자 간의 금융 서비스를 중개하는 투자 중개 시스템{Investment mediation system for mediating financial services between users who matched investment and loan conditions},"본 발명은 피투피(P2P: peer To Peer) 투자 중개 매칭 플랫폼에 관한 것으로, 하나 이상의 투자자(10) 들이 각각 사용하는 투자자 단말기(120)와, 하나 이상의 채무자(20) 들이 각각 사용하는 채무자 단말기(130)와 각각 통신망을 통하여 연결되는 피투피(P2P: peer To Peer) 투자 중개 매칭 플랫폼 서버(110); 를 포함하여 구성되되, 상기 피투피(P2P: peer To Peer) 투자 중개 매칭 플랫폼 서버(110)는, 상기 투자자 단말기(120)를 통하여 투자 금액, 투자 수익률 및 투자 기간 중 어느 하나 이상을 포함하는 투자 조건이 부가된 투자금 투자를 전달(S1)받고 이에 대하여 상기 투자자 단말기(120)에 대하여 상기 투자금 투자에 대한 전자 화폐를 발행(S2)하고, 상기 채무자 단말기(130)를 통하여 대출 금액, 이자율 및 대출 기간 중 어느 하나 이상을 포함하는 대출 조건이 부가된 대출 신청을 전달(S3)받은 후, 상기 투자 조건 및 상기 대출 조건을 서로 매칭(matching)하여 선별한 후, 선별된 투자 조건 및 대출 조건에 따라 상기 채무자(20)에게 상기 채무자 단말기(130)를 통하여 대출금을 지급(S4)하는 것을 특징으로 하는 피투피(P2P: peer To Peer) 투자 중개 매칭 플랫폼(100)에 관한 것이다.",2018.03.15,김시내|김건호,1,1,"['G06Q40', 'G06Q30', 'G06Q20']","KR20010095986A,KR20030026693A,KR20030068326A,KR20070039015A,KR20090087715A",,KR1941989B1,5,1,A-,2,['KR'],김시내|김건호,KR,2018,0
8,KR20050030434A,금전소비대차 계약 인증 전자문서 생성 방법{Method for Creating Electronic Document for Authenticating Money Borrowing and Lending Contract},"본 발명은 소정의 금전소비대차 계약 조건 정보와, 상기 금전소비대차 계약에 대응하는 적어도 하나 이상의 금전소비대주 클라이언트 정보 및 상기 금전소비대차 계약에 대응하는 적어도 하나 이상의 금전소비차주 클라이언트 정보를 포함하는 금전소비대차 계약 인증 문서를 포함하고, 상기 금전소비대차 계약 인증 문서는, 금전소비대차 계약 조건 정보 세그먼트; 상기 금전소비대차 계약에 대응하는 적어도 하나 이상의 금전소비대주 클라이언트 정보 세그먼트; 및 상기 금전소비대차 계약에 대응하는 적어도 하나 이상의 금전소비차주 클라이언트 정보 세그먼트;를 포함하여 이루어지는 것을 특징으로 하는 금전소비대차 계약 인증 전자문서와 금전소비대차 계약 인증 전자문서 저장용 저장매체와 금전소비대차 계약 인증 전자문서 생성 프로그램을 기록한 것을 특징으로 하는 컴퓨터로 판독 가능한 기록매체에 대한 것이다. 이에 의해, 소정의 금융기관으로부터 대출을 원하거나, 및/또는 급전이 필요한 금전소비차주 클라이언트는 상기 금전소비대차 계약 인증 전자문서를 기반으로 하는 금전소비대차 계약을 통해 편리하게 금전소비대차 계약을 성립하여 소정의 금액을 융통하는 이점이 있으며, 자신의 자산을 불리고자 하는 금전소비대주 클라이언트는 상기 금전소비대차 계약 인증 전자문서를 통해 금전소비대차 계약을 성립하여 소정의 금액을 빌려줌으로써 이자 수익을 안전하게 발생시키는 이점이 있다.",2005.04.12,주식회사 비즈모델라인,1,3,"['G06Q40', 'H04W12', 'G06Q30']","KR20020016042A,KR20020032940A,KR20020057903A,KR20020076359A",,"KR1869196B1,KR20090001942A,KR20170049755A,KR20200055178A",4,4,A-,3,['KR'],주식회사 비즈모델라인,KR,2005,0
9,KR20090044242A,블로그(또는 웹사이트) 운영자에 대한 대출서비스 제공 방법 및 이를 위한 기록매체{Method for Providing Loan Service with Blog(or Web-Site) Manager and Recording Medium},"본 발명은 블로그(또는 웹사이트) 운영자에 대한 대출서비스 제공 방법 및 이를 위한 기록매체에 관한 것으로서, 본 발명에 따른 블로그(또는 웹사이트) 운영자를 대상으로 대출 서비스를 제공하는 방법은, 상기 블로그(또는 웹사이트) 운영자가 대출을 요청하면, 상기 블로그(또는 웹사이트) 운영자가 운영하는 블로그(또는 웹사이트)를 통해 일정기간 발생된 평균 광고 수익을 확인하고, 상기 확인된 일정기간 발생된 평균 광고 수익을 기반으로 대출가능 금액을 확인하는 단계와, 상기 확인된 대출가능 금액이 상기 블로그(또는 웹사이트) 운영자의 대출요청 금액을 초과하는지 여부를 확인하고, 초과하지 않는 경우, 상기 블로그(또는 웹사이트) 운영자의 대출요청 금액을 대출 처리하는 단계를 포함한다.",2009.05.21,주식회사 신한은행,1,4,"['G06Q50', 'G06Q40', 'G06Q30']","KR20060118034A,KR20070095086A,KR20090013456A",,KR1688619B1,3,1,A-,1,['KR'],주식회사 신한은행,KR,2009,0
