대분류,중분류,ipc,title,ipc_sub
기계ㆍ소재,정밀생산기계,B23B*,선삭; 보오링(모방 또는 제어 장치 B23Q),B23B
기계ㆍ소재,정밀생산기계,B23C*,밀링(브로우칭 B23D; 치차 제조에 있어서 브로우치 밀링 B23F; 모방 또는 제어 장치 B23Q),B23C
기계ㆍ소재,정밀생산기계,B23H1/*,"방전 가공, 즉 유전성 유체 중에 놓여진 전극과 공작물 사이에 방전을 고속으로 반복하는 것에 의해서 이루어지는 금속의 제거 [2006.01]",B23H
기계ㆍ소재,정밀생산기계,B24B45/*,회전축에 그라인딩휠을 고정하는 수단 [2006.01],B24B
기계ㆍ소재,정밀생산기계,B26B*,"그 밖에 분류되지 않는 휴대용 절단 공구(수확용 A01D； 원예용, 임업용 A01G； 도살 또는 고기의 처리용 A22； 신발류의 제조 또는 수리용 A43D； 손톱깎이 기구 또는 손톱깎이 A45D29/02； 부엌용구 A47J； 수술 목적을 위한 것 A61B17/00；금속용 B23D； 연마제 제트분사에 의한 절단 B24C5/02； 절단칼날을 갖춘 플라이어 유사 공구 B25B7/22； 집게 B25C11/02； 수공구용의 손잡이 일반 B25G； 단두대형(guilottine-type) 커터 B26D； 지우개용 B43L19/00；섬유 재료용 D06H)",B26B
기계ㆍ소재,정밀생산기계,B26D*,"절단; 구멍뚫기, 펀칭, 잘라내기, 형빼기 또는 절삭을 위한 기계에 공통된 세부(천을 잘라서 조각을 내는 칼 또는 다른 절개수단 또는 찢음부에 의한 해체 B02C 18/00; 유체 분사에 의한 절단 B24C 5/02; 휴대절단 공구 B26B; ) [1990.01]",B26D
기계ㆍ소재,정밀생산기계,B23H11/*,달리 분류되지 않는 보조 장치 또는 세부 [2006.01],B23H
기계ㆍ소재,정밀생산기계,B23H9/*,특정의 금속 대상물을 취급 또는 금속 대상물에 특별한 효과 또는 결과를 달성하기 위해 특히 적용된 기계 가공(음극 방전에 의한 열처리 C21D 1/38) [2006.01],B23H
기계ㆍ소재,정밀생산기계,B23K37/*,"이 서브그룹은 다른 메인 그룹의 하나만으로 커버되는 한 개의 공정에 특히 적합하지 않는 보조 장치 또는 방법(신체에 착용하거나 손조작에 의해 용접공의 안구를 보호하는 것 A61F9/00; 납땜, 용접 또는 가스 절단기 이외의 금속가공기계에 적용되는 것 B23Q; 다른 보호물 F16P1/06) [2006.01]",B23K
기계ㆍ소재,정밀생산기계,B23Q*,"공작 기계의 세부, 구성부분, 또는 부속 장치, 예. 모방 또는 제어 장치(선반 또는 보오링머신의 공구 B23B 27/00); 특정의 세부 또는 구성부분의 구조에 특징이 있는 공작 기계; 특정의 결과를 목적으로 하지 않는 금속 가공 기계의 조합",B23Q
기계ㆍ소재,정밀생산기계,B24B41/*,"프레임, 베드, 왕복대(carriages), 주축대(headstock)와 같은 연삭 기계 또는 장치의 구성부분 [2006.01]",B24B
기계ㆍ소재,정밀생산기계,B27G1/*,판재의 마디나 그 밖의 불규칙물의 제거 또는 구멍의 매입기계 또는 장치 [2006.01],B27G
기계ㆍ소재,정밀생산기계,B27L1/*,수목 또는 통나무로부터의 수피 또는 기적의 제거(화학적 처리에 의한 수피의 제거 B27L 3/00); 그것을 위한 기계 [2006.01],B27L
기계ㆍ소재,정밀생산기계,B28D1/*,"타류로 분류되지 않는 석재 또는 석재 유사 재료 , 예 . 예. 벽돌, 콘크리트의 가공 그것을 위한 기계, 장치, 공구(보석류나 결정체의 정밀 가공 5/00; 연삭 또는 연마에 의한 가공 B24; 연삭면의 드레싱 또는 정상화를 위한 장치 또는 수단 B24B 53/00) [2006.01]",B28D
기계ㆍ소재,정밀생산기계,B29C37/*,"그룹 B29C 33/00 또는 B29C 35/00에 포함되지 아니하는 구성 부품, 세부, 부속 장치 또는 보조 조작 [2006.01]",B29C
기계ㆍ소재,정밀생산기계,F16C19/*,"회전운동만을 위한, 구름 베어링(조절할 수 있는 베어링 F16C 23/00, F16C 25/00) [2006.01]",F16C
기계ㆍ소재,정밀생산기계,F16C32/*,그 밖의 베어링 [2006.01],F16C
기계ㆍ소재,정밀생산기계,F16K11/*,"다방향밸브, 예. 혼합밸브; 이들의 밸브를 합체하는 관의 부착구; 유체를 혼합하는데 특히 적용되는 밸브와 유로의 배치 [2006.01]",F16K
기계ㆍ소재,정밀생산기계,F16N13/*,윤활펌프(펌프를 갖춘 오일통 F16N 3/08) [2006.01],F16N
기계ㆍ소재,정밀생산기계,G06F17/*,"디지털 컴퓨팅 또는 데이터 처리 장비 또는 방법, 특정 기능을 위해 특히 적합한 것(정보 검색, 데이터베이스 구조 또는 파일 시스템 구조 G06F16/00) [2019.01]",G06F
기계ㆍ소재,정밀생산기계,B24B37/*,래핑 기계 또는 장치; 그것의 부속장치 (B24B 3/00이 우선) [2012.01],B24B
기계ㆍ소재,정밀생산기계,B24B9/*,공작물의 경사면 또는 끝 가장자리를 연삭 또는 깍은 흔적의 제거를 위하여 설계된 기계나 장치; 그것을 위한 부속장치(B24B 21/00이 우선; 공구의 절삭날 연삭 B24B 3/00; 유리 입자(loose abrasive material)에 의한 흔적(burrs)제거 B24B 31/00) [2006.01],B24B
